#    L    TT             EE             TE             PP             TP          
    36   0.115533E+04   0.398132E-01   0.191805E+01   0.612785E+07   0.172706E+05
    37   0.117293E+04   0.437285E-01   0.189219E+01   0.613152E+07   0.168824E+05
    38   0.119089E+04   0.479004E-01   0.185717E+01   0.613283E+07   0.165164E+05
    39   0.120912E+04   0.523185E-01   0.181277E+01   0.613191E+07   0.161692E+05
    40   0.122754E+04   0.569753E-01   0.175723E+01   0.612887E+07   0.158351E+05
    41   0.124606E+04   0.618675E-01   0.168931E+01   0.612382E+07   0.155095E+05
    42   0.126468E+04   0.670081E-01   0.161003E+01   0.611689E+07   0.151915E+05
    43   0.128342E+04   0.724139E-01   0.152051E+01   0.610820E+07   0.148815E+05
    44   0.130233E+04   0.780997E-01   0.142030E+01   0.609788E+07   0.145797E+05
    45   0.132147E+04   0.840773E-01   0.130865E+01   0.608606E+07   0.142864E+05
    46   0.134081E+04   0.903538E-01   0.118519E+01   0.607286E+07   0.140017E+05
    47   0.136032E+04   0.969297E-01   0.104938E+01   0.605836E+07   0.137254E+05
    48   0.137999E+04   0.103797E+00   0.900615E+00   0.604266E+07   0.134570E+05
    49   0.139981E+04   0.110945E+00   0.738349E+00   0.602584E+07   0.131963E+05
    50   0.141982E+04   0.118378E+00   0.562182E+00   0.600799E+07   0.129428E+05
    51   0.144009E+04   0.126099E+00   0.372024E+00   0.598917E+07   0.126963E+05
    52   0.146056E+04   0.134112E+00   0.168827E+00   0.596947E+07   0.124570E+05
    53   0.148116E+04   0.142418E+00  -0.464082E-01   0.594892E+07   0.122252E+05
    54   0.150188E+04   0.151021E+00  -0.273539E+00   0.592759E+07   0.120015E+05
    55   0.152270E+04   0.159924E+00  -0.512794E+00   0.590552E+07   0.117860E+05
    56   0.154375E+04   0.169124E+00  -0.765042E+00   0.588278E+07   0.115791E+05
    57   0.156511E+04   0.178618E+00  -0.103116E+01   0.585938E+07   0.113800E+05
    58   0.158676E+04   0.188404E+00  -0.131136E+01   0.583538E+07   0.111877E+05
    59   0.160859E+04   0.198483E+00  -0.160555E+01   0.581079E+07   0.110014E+05
    60   0.163059E+04   0.208845E+00  -0.191324E+01   0.578565E+07   0.108202E+05
    61   0.165278E+04   0.219485E+00  -0.223394E+01   0.576000E+07   0.106432E+05
    62   0.167514E+04   0.230398E+00  -0.256767E+01   0.573388E+07   0.104699E+05
    63   0.169771E+04   0.241583E+00  -0.291456E+01   0.570735E+07   0.103000E+05
    64   0.172049E+04   0.253037E+00  -0.327475E+01   0.568045E+07   0.101331E+05
    65   0.174349E+04   0.264759E+00  -0.364841E+01   0.565323E+07   0.996868E+04
    66   0.176677E+04   0.276742E+00  -0.403578E+01   0.562575E+07   0.980666E+04
    67   0.179030E+04   0.288980E+00  -0.443630E+01   0.559802E+07   0.964757E+04
    68   0.181404E+04   0.301463E+00  -0.484927E+01   0.557008E+07   0.949215E+04
    69   0.183795E+04   0.314183E+00  -0.527399E+01   0.554195E+07   0.934117E+04
    70   0.186200E+04   0.327134E+00  -0.570996E+01   0.551365E+07   0.919537E+04
    71   0.188616E+04   0.340312E+00  -0.615700E+01   0.548521E+07   0.905529E+04
    72   0.191055E+04   0.353712E+00  -0.661602E+01   0.545663E+07   0.892060E+04
    73   0.193529E+04   0.367330E+00  -0.708798E+01   0.542791E+07   0.879073E+04
    74   0.196038E+04   0.381153E+00  -0.757278E+01   0.539906E+07   0.866514E+04
    75   0.198583E+04   0.395171E+00  -0.806999E+01   0.537008E+07   0.854327E+04
    76   0.201158E+04   0.409369E+00  -0.857906E+01   0.534099E+07   0.842458E+04
    77   0.203753E+04   0.423736E+00  -0.909854E+01   0.531180E+07   0.830867E+04
    78   0.206364E+04   0.438261E+00  -0.962798E+01   0.528252E+07   0.819514E+04
    79   0.208996E+04   0.452931E+00  -0.101672E+02   0.525319E+07   0.808358E+04
    80   0.211652E+04   0.467736E+00  -0.107162E+02   0.522381E+07   0.797360E+04
    81   0.214333E+04   0.482664E+00  -0.112748E+02   0.519442E+07   0.786492E+04
    82   0.217041E+04   0.497705E+00  -0.118425E+02   0.516503E+07   0.775765E+04
    83   0.219774E+04   0.512847E+00  -0.124190E+02   0.513564E+07   0.765202E+04
    84   0.222532E+04   0.528081E+00  -0.130039E+02   0.510629E+07   0.754827E+04
    85   0.225313E+04   0.543394E+00  -0.135969E+02   0.507697E+07   0.744662E+04
    86   0.228118E+04   0.558778E+00  -0.141974E+02   0.504771E+07   0.734725E+04
    87   0.230943E+04   0.574218E+00  -0.148050E+02   0.501850E+07   0.725019E+04
    88   0.233787E+04   0.589702E+00  -0.154191E+02   0.498937E+07   0.715539E+04
    89   0.236650E+04   0.605216E+00  -0.160392E+02   0.496032E+07   0.706284E+04
    90   0.239533E+04   0.620745E+00  -0.166652E+02   0.493135E+07   0.697249E+04
    91   0.242437E+04   0.636274E+00  -0.172964E+02   0.490248E+07   0.688433E+04
    92   0.245361E+04   0.651788E+00  -0.179328E+02   0.487370E+07   0.679827E+04
    93   0.248307E+04   0.667273E+00  -0.185736E+02   0.484503E+07   0.671426E+04
    94   0.251275E+04   0.682716E+00  -0.192189E+02   0.481645E+07   0.663221E+04
    95   0.254266E+04   0.698102E+00  -0.198679E+02   0.478799E+07   0.655206E+04
    96   0.257279E+04   0.713417E+00  -0.205203E+02   0.475964E+07   0.647373E+04
    97   0.260315E+04   0.728647E+00  -0.211757E+02   0.473140E+07   0.639716E+04
    98   0.263374E+04   0.743775E+00  -0.218336E+02   0.470329E+07   0.632227E+04
    99   0.266453E+04   0.758789E+00  -0.224935E+02   0.467529E+07   0.624899E+04
   100   0.269556E+04   0.773676E+00  -0.231550E+02   0.464742E+07   0.617725E+04
   101   0.272680E+04   0.788422E+00  -0.238174E+02   0.461968E+07   0.610698E+04
   102   0.275825E+04   0.803005E+00  -0.244804E+02   0.459208E+07   0.603810E+04
   103   0.278991E+04   0.817425E+00  -0.251434E+02   0.456461E+07   0.597054E+04
   104   0.282178E+04   0.831652E+00  -0.258059E+02   0.453729E+07   0.590424E+04
   105   0.285384E+04   0.845679E+00  -0.264674E+02   0.451010E+07   0.583912E+04
   106   0.288609E+04   0.859492E+00  -0.271271E+02   0.448307E+07   0.577511E+04
   107   0.291852E+04   0.873083E+00  -0.277846E+02   0.445619E+07   0.571213E+04
   108   0.295112E+04   0.886430E+00  -0.284395E+02   0.442946E+07   0.565012E+04
   109   0.298389E+04   0.899527E+00  -0.290909E+02   0.440289E+07   0.558901E+04
   110   0.301683E+04   0.912350E+00  -0.297384E+02   0.437649E+07   0.552872E+04
   111   0.304992E+04   0.924893E+00  -0.303816E+02   0.435025E+07   0.546919E+04
   112   0.308316E+04   0.937149E+00  -0.310197E+02   0.432417E+07   0.541042E+04
   113   0.311655E+04   0.949094E+00  -0.316523E+02   0.429827E+07   0.535240E+04
   114   0.315008E+04   0.960713E+00  -0.322788E+02   0.427253E+07   0.529515E+04
   115   0.318373E+04   0.972007E+00  -0.328985E+02   0.424696E+07   0.523867E+04
   116   0.321751E+04   0.982960E+00  -0.335110E+02   0.422156E+07   0.518296E+04
   117   0.325142E+04   0.993550E+00  -0.341157E+02   0.419632E+07   0.512802E+04
   118   0.328542E+04   0.100378E+01  -0.347119E+02   0.417126E+07   0.507386E+04
   119   0.331954E+04   0.101362E+01  -0.352992E+02   0.414637E+07   0.502048E+04
   120   0.335374E+04   0.102309E+01  -0.358770E+02   0.412164E+07   0.496788E+04
   121   0.338804E+04   0.103215E+01  -0.364447E+02   0.409709E+07   0.491608E+04
   122   0.342240E+04   0.104080E+01  -0.370018E+02   0.407271E+07   0.486507E+04
   123   0.345684E+04   0.104904E+01  -0.375477E+02   0.404849E+07   0.481486E+04
   124   0.349134E+04   0.105684E+01  -0.380819E+02   0.402445E+07   0.476545E+04
   125   0.352589E+04   0.106421E+01  -0.386038E+02   0.400059E+07   0.471684E+04
   126   0.356049E+04   0.107114E+01  -0.391129E+02   0.397689E+07   0.466905E+04
   127   0.359512E+04   0.107762E+01  -0.396086E+02   0.395337E+07   0.462206E+04
   128   0.362977E+04   0.108363E+01  -0.400906E+02   0.393003E+07   0.457590E+04
   129   0.366445E+04   0.108919E+01  -0.405581E+02   0.390685E+07   0.453055E+04
   130   0.369913E+04   0.109426E+01  -0.410107E+02   0.388385E+07   0.448603E+04
   131   0.373381E+04   0.109886E+01  -0.414478E+02   0.386103E+07   0.444233E+04
   132   0.376848E+04   0.110299E+01  -0.418690E+02   0.383838E+07   0.439944E+04
   133   0.380314E+04   0.110662E+01  -0.422738E+02   0.381590E+07   0.435732E+04
   134   0.383777E+04   0.110977E+01  -0.426617E+02   0.379360E+07   0.431596E+04
   135   0.387237E+04   0.111242E+01  -0.430323E+02   0.377146E+07   0.427532E+04
   136   0.390693E+04   0.111459E+01  -0.433850E+02   0.374950E+07   0.423539E+04
   137   0.394145E+04   0.111625E+01  -0.437194E+02   0.372770E+07   0.419613E+04
   138   0.397591E+04   0.111742E+01  -0.440351E+02   0.370607E+07   0.415753E+04
   139   0.401030E+04   0.111810E+01  -0.443316E+02   0.368461E+07   0.411955E+04
   140   0.404463E+04   0.111827E+01  -0.446086E+02   0.366332E+07   0.408218E+04
   141   0.407888E+04   0.111797E+01  -0.448657E+02   0.364219E+07   0.404539E+04
   142   0.411304E+04   0.111716E+01  -0.451023E+02   0.362122E+07   0.400914E+04
   143   0.414711E+04   0.111586E+01  -0.453182E+02   0.360042E+07   0.397343E+04
   144   0.418107E+04   0.111409E+01  -0.455129E+02   0.357978E+07   0.393821E+04
   145   0.421492E+04   0.111182E+01  -0.456860E+02   0.355929E+07   0.390348E+04
   146   0.424864E+04   0.110907E+01  -0.458372E+02   0.353897E+07   0.386919E+04
   147   0.428221E+04   0.110586E+01  -0.459659E+02   0.351881E+07   0.383533E+04
   148   0.431562E+04   0.110218E+01  -0.460719E+02   0.349881E+07   0.380188E+04
   149   0.434886E+04   0.109804E+01  -0.461547E+02   0.347896E+07   0.376880E+04
   150   0.438191E+04   0.109345E+01  -0.462139E+02   0.345926E+07   0.373607E+04
   151   0.441475E+04   0.108842E+01  -0.462492E+02   0.343973E+07   0.370367E+04
   152   0.444739E+04   0.108295E+01  -0.462602E+02   0.342034E+07   0.367160E+04
   153   0.447981E+04   0.107705E+01  -0.462468E+02   0.340111E+07   0.363985E+04
   154   0.451202E+04   0.107075E+01  -0.462087E+02   0.338203E+07   0.360842E+04
   155   0.454400E+04   0.106404E+01  -0.461456E+02   0.336311E+07   0.357732E+04
   156   0.457576E+04   0.105694E+01  -0.460572E+02   0.334433E+07   0.354653E+04
   157   0.460728E+04   0.104946E+01  -0.459434E+02   0.332570E+07   0.351605E+04
   158   0.463856E+04   0.104163E+01  -0.458038E+02   0.330722E+07   0.348589E+04
   159   0.466960E+04   0.103343E+01  -0.456383E+02   0.328889E+07   0.345605E+04
   160   0.470038E+04   0.102491E+01  -0.454467E+02   0.327070E+07   0.342651E+04
   161   0.473088E+04   0.101606E+01  -0.452287E+02   0.325266E+07   0.339729E+04
   162   0.476109E+04   0.100691E+01  -0.449842E+02   0.323477E+07   0.336837E+04
   163   0.479100E+04   0.997488E+00  -0.447128E+02   0.321701E+07   0.333976E+04
   164   0.482060E+04   0.987790E+00  -0.444146E+02   0.319941E+07   0.331145E+04
   165   0.484987E+04   0.977839E+00  -0.440891E+02   0.318194E+07   0.328345E+04
   166   0.487881E+04   0.967658E+00  -0.437365E+02   0.316461E+07   0.325575E+04
   167   0.490741E+04   0.957269E+00  -0.433564E+02   0.314743E+07   0.322835E+04
   168   0.493566E+04   0.946695E+00  -0.429490E+02   0.313038E+07   0.320124E+04
   169   0.496355E+04   0.935957E+00  -0.425141E+02   0.311348E+07   0.317443E+04
   170   0.499108E+04   0.925071E+00  -0.420516E+02   0.309671E+07   0.314792E+04
   171   0.501822E+04   0.914066E+00  -0.415614E+02   0.308007E+07   0.312170E+04
   172   0.504499E+04   0.902964E+00  -0.410436E+02   0.306357E+07   0.309577E+04
   173   0.507136E+04   0.891787E+00  -0.404981E+02   0.304721E+07   0.307013E+04
   174   0.509732E+04   0.880558E+00  -0.399248E+02   0.303098E+07   0.304478E+04
   175   0.512288E+04   0.869314E+00  -0.393239E+02   0.301489E+07   0.301971E+04
   176   0.514802E+04   0.858070E+00  -0.386954E+02   0.299892E+07   0.299493E+04
   177   0.517273E+04   0.846862E+00  -0.380391E+02   0.298309E+07   0.297042E+04
   178   0.519700E+04   0.835713E+00  -0.373553E+02   0.296739E+07   0.294619E+04
   179   0.522082E+04   0.824646E+00  -0.366438E+02   0.295181E+07   0.292223E+04
   180   0.524420E+04   0.813697E+00  -0.359050E+02   0.293637E+07   0.289852E+04
   181   0.526711E+04   0.802896E+00  -0.351388E+02   0.292104E+07   0.287508E+04
   182   0.528955E+04   0.792274E+00  -0.343454E+02   0.290585E+07   0.285188E+04
   183   0.531153E+04   0.781852E+00  -0.335249E+02   0.289077E+07   0.282893E+04
   184   0.533302E+04   0.771667E+00  -0.326776E+02   0.287582E+07   0.280621E+04
   185   0.535403E+04   0.761757E+00  -0.318034E+02   0.286099E+07   0.278373E+04
   186   0.537453E+04   0.752143E+00  -0.309026E+02   0.284628E+07   0.276147E+04
   187   0.539454E+04   0.742857E+00  -0.299754E+02   0.283169E+07   0.273944E+04
   188   0.541404E+04   0.733939E+00  -0.290220E+02   0.281722E+07   0.271762E+04
   189   0.543302E+04   0.725419E+00  -0.280426E+02   0.280286E+07   0.269602E+04
   190   0.545148E+04   0.717333E+00  -0.270375E+02   0.278862E+07   0.267461E+04
   191   0.546941E+04   0.709711E+00  -0.260070E+02   0.277449E+07   0.265341E+04
   192   0.548680E+04   0.702589E+00  -0.249511E+02   0.276048E+07   0.263239E+04
   193   0.550364E+04   0.696001E+00  -0.238702E+02   0.274658E+07   0.261157E+04
   194   0.551994E+04   0.689981E+00  -0.227648E+02   0.273278E+07   0.259092E+04
   195   0.553568E+04   0.684566E+00  -0.216349E+02   0.271910E+07   0.257046E+04
   196   0.555086E+04   0.679791E+00  -0.204812E+02   0.270552E+07   0.255016E+04
   197   0.556550E+04   0.675694E+00  -0.193038E+02   0.269205E+07   0.253002E+04
   198   0.557957E+04   0.672310E+00  -0.181032E+02   0.267869E+07   0.251004E+04
   199   0.559307E+04   0.669675E+00  -0.168796E+02   0.266543E+07   0.249022E+04
   200   0.560600E+04   0.667825E+00  -0.156337E+02   0.265227E+07   0.247054E+04
   201   0.561836E+04   0.666796E+00  -0.143655E+02   0.263921E+07   0.245101E+04
   202   0.563014E+04   0.666626E+00  -0.130757E+02   0.262626E+07   0.243161E+04
   203   0.564131E+04   0.667352E+00  -0.117646E+02   0.261341E+07   0.241236E+04
   204   0.565188E+04   0.669008E+00  -0.104326E+02   0.260065E+07   0.239324E+04
   205   0.566182E+04   0.671634E+00  -0.908023E+01   0.258800E+07   0.237426E+04
   206   0.567114E+04   0.675264E+00  -0.770779E+01   0.257544E+07   0.235542E+04
   207   0.567982E+04   0.679936E+00  -0.631569E+01   0.256298E+07   0.233671E+04
   208   0.568786E+04   0.685687E+00  -0.490453E+01   0.255061E+07   0.231814E+04
   209   0.569528E+04   0.692552E+00  -0.347485E+01   0.253834E+07   0.229971E+04
   210   0.570208E+04   0.700569E+00  -0.202719E+01   0.252616E+07   0.228140E+04
   211   0.570825E+04   0.709776E+00  -0.562119E+00   0.251408E+07   0.226323E+04
   212   0.571382E+04   0.720207E+00   0.919814E+00   0.250209E+07   0.224520E+04
   213   0.571878E+04   0.731900E+00   0.241805E+01   0.249020E+07   0.222729E+04
   214   0.572314E+04   0.744893E+00   0.393204E+01   0.247839E+07   0.220951E+04
   215   0.572690E+04   0.759214E+00   0.546119E+01   0.246668E+07   0.219186E+04
   216   0.573004E+04   0.774909E+00   0.700491E+01   0.245505E+07   0.217435E+04
   217   0.573257E+04   0.792009E+00   0.856259E+01   0.244351E+07   0.215696E+04
   218   0.573449E+04   0.810542E+00   0.101337E+02   0.243206E+07   0.213969E+04
   219   0.573578E+04   0.830554E+00   0.117176E+02   0.242070E+07   0.212255E+04
   220   0.573644E+04   0.852073E+00   0.133137E+02   0.240943E+07   0.210554E+04
   221   0.573648E+04   0.875130E+00   0.149213E+02   0.239824E+07   0.208865E+04
   222   0.573589E+04   0.899769E+00   0.165400E+02   0.238713E+07   0.207189E+04
   223   0.573466E+04   0.926013E+00   0.181690E+02   0.237611E+07   0.205525E+04
   224   0.573281E+04   0.953899E+00   0.198076E+02   0.236517E+07   0.203873E+04
   225   0.573033E+04   0.983448E+00   0.214552E+02   0.235431E+07   0.202233E+04
   226   0.572723E+04   0.101471E+01   0.231111E+02   0.234354E+07   0.200605E+04
   227   0.572350E+04   0.104770E+01   0.247747E+02   0.233285E+07   0.198989E+04
   228   0.571915E+04   0.108246E+01   0.264452E+02   0.232223E+07   0.197385E+04
   229   0.571419E+04   0.111901E+01   0.281221E+02   0.231170E+07   0.195792E+04
   230   0.570860E+04   0.115739E+01   0.298046E+02   0.230124E+07   0.194212E+04
   231   0.570239E+04   0.119762E+01   0.314920E+02   0.229086E+07   0.192643E+04
   232   0.569558E+04   0.123972E+01   0.331836E+02   0.228056E+07   0.191085E+04
   233   0.568815E+04   0.128373E+01   0.348787E+02   0.227033E+07   0.189539E+04
   234   0.568010E+04   0.132968E+01   0.365765E+02   0.226018E+07   0.188004E+04
   235   0.567145E+04   0.137758E+01   0.382765E+02   0.225010E+07   0.186481E+04
   236   0.566219E+04   0.142747E+01   0.399779E+02   0.224010E+07   0.184969E+04
   237   0.565233E+04   0.147937E+01   0.416798E+02   0.223016E+07   0.183467E+04
   238   0.564187E+04   0.153329E+01   0.433816E+02   0.222030E+07   0.181977E+04
   239   0.563082E+04   0.158925E+01   0.450826E+02   0.221051E+07   0.180498E+04
   240   0.561917E+04   0.164729E+01   0.467819E+02   0.220079E+07   0.179030E+04
   241   0.560692E+04   0.170743E+01   0.484790E+02   0.219114E+07   0.177572E+04
   242   0.559410E+04   0.176968E+01   0.501729E+02   0.218156E+07   0.176125E+04
   243   0.558070E+04   0.183406E+01   0.518630E+02   0.217205E+07   0.174689E+04
   244   0.556672E+04   0.190058E+01   0.535486E+02   0.216260E+07   0.173263E+04
   245   0.555217E+04   0.196928E+01   0.552289E+02   0.215322E+07   0.171847E+04
   246   0.553706E+04   0.204014E+01   0.569033E+02   0.214390E+07   0.170442E+04
   247   0.552139E+04   0.211320E+01   0.585710E+02   0.213465E+07   0.169048E+04
   248   0.550518E+04   0.218848E+01   0.602312E+02   0.212546E+07   0.167663E+04
   249   0.548842E+04   0.226597E+01   0.618833E+02   0.211634E+07   0.166288E+04
   250   0.547112E+04   0.234570E+01   0.635265E+02   0.210728E+07   0.164924E+04
   251   0.545327E+04   0.242766E+01   0.651599E+02   0.209827E+07   0.163569E+04
   252   0.543490E+04   0.251187E+01   0.667828E+02   0.208933E+07   0.162225E+04
   253   0.541598E+04   0.259834E+01   0.683944E+02   0.208045E+07   0.160890E+04
   254   0.539655E+04   0.268706E+01   0.699938E+02   0.207163E+07   0.159565E+04
   255   0.537658E+04   0.277805E+01   0.715804E+02   0.206287E+07   0.158249E+04
   256   0.535608E+04   0.287131E+01   0.731533E+02   0.205416E+07   0.156943E+04
   257   0.533508E+04   0.296684E+01   0.747120E+02   0.204552E+07   0.155646E+04
   258   0.531358E+04   0.306463E+01   0.762554E+02   0.203693E+07   0.154359E+04
   259   0.529158E+04   0.316471E+01   0.777839E+02   0.202840E+07   0.153081E+04
   260   0.526912E+04   0.326706E+01   0.792953E+02   0.201993E+07   0.151812E+04
   261   0.524619E+04   0.337169E+01   0.807904E+02   0.201151E+07   0.150552E+04
   262   0.522281E+04   0.347858E+01   0.822677E+02   0.200315E+07   0.149302E+04
   263   0.519899E+04   0.358775E+01   0.837271E+02   0.199485E+07   0.148060E+04
   264   0.517474E+04   0.369918E+01   0.851672E+02   0.198660E+07   0.146827E+04
   265   0.515006E+04   0.381287E+01   0.865888E+02   0.197840E+07   0.145603E+04
   266   0.512496E+04   0.392880E+01   0.879896E+02   0.197026E+07   0.144388E+04
   267   0.509945E+04   0.404696E+01   0.893689E+02   0.196217E+07   0.143182E+04
   268   0.507353E+04   0.416733E+01   0.907273E+02   0.195414E+07   0.141984E+04
   269   0.504719E+04   0.428993E+01   0.920628E+02   0.194616E+07   0.140794E+04
   270   0.502046E+04   0.441471E+01   0.933759E+02   0.193823E+07   0.139613E+04
   271   0.499335E+04   0.454168E+01   0.946646E+02   0.193035E+07   0.138440E+04
   272   0.496585E+04   0.467081E+01   0.959295E+02   0.192252E+07   0.137276E+04
   273   0.493800E+04   0.480208E+01   0.971692E+02   0.191475E+07   0.136120E+04
   274   0.490978E+04   0.493548E+01   0.983843E+02   0.190702E+07   0.134971E+04
   275   0.488121E+04   0.507098E+01   0.995728E+02   0.189935E+07   0.133831E+04
   276   0.485231E+04   0.520857E+01   0.100735E+03   0.189172E+07   0.132699E+04
   277   0.482309E+04   0.534823E+01   0.101870E+03   0.188415E+07   0.131575E+04
   278   0.479355E+04   0.548992E+01   0.102977E+03   0.187662E+07   0.130458E+04
   279   0.476370E+04   0.563363E+01   0.104056E+03   0.186914E+07   0.129349E+04
   280   0.473356E+04   0.577931E+01   0.105107E+03   0.186171E+07   0.128248E+04
   281   0.470314E+04   0.592695E+01   0.106128E+03   0.185432E+07   0.127154E+04
   282   0.467244E+04   0.607650E+01   0.107120E+03   0.184699E+07   0.126068E+04
   283   0.464147E+04   0.622796E+01   0.108081E+03   0.183969E+07   0.124989E+04
   284   0.461025E+04   0.638127E+01   0.109011E+03   0.183245E+07   0.123917E+04
   285   0.457879E+04   0.653642E+01   0.109910E+03   0.182525E+07   0.122853E+04
   286   0.454708E+04   0.669336E+01   0.110778E+03   0.181809E+07   0.121795E+04
   287   0.451516E+04   0.685204E+01   0.111613E+03   0.181098E+07   0.120745E+04
   288   0.448303E+04   0.701246E+01   0.112416E+03   0.180391E+07   0.119702E+04
   289   0.445068E+04   0.717455E+01   0.113186E+03   0.179689E+07   0.118666E+04
   290   0.441815E+04   0.733828E+01   0.113923E+03   0.178991E+07   0.117636E+04
   291   0.438545E+04   0.750363E+01   0.114626E+03   0.178297E+07   0.116613E+04
   292   0.435256E+04   0.767046E+01   0.115294E+03   0.177607E+07   0.115597E+04
   293   0.431951E+04   0.783886E+01   0.115929E+03   0.176922E+07   0.114588E+04
   294   0.428632E+04   0.800874E+01   0.116528E+03   0.176240E+07   0.113585E+04
   295   0.425297E+04   0.817997E+01   0.117092E+03   0.175563E+07   0.112588E+04
   296   0.421950E+04   0.835260E+01   0.117621E+03   0.174890E+07   0.111598E+04
   297   0.418588E+04   0.852649E+01   0.118112E+03   0.174220E+07   0.110614E+04
   298   0.415216E+04   0.870165E+01   0.118567E+03   0.173555E+07   0.109636E+04
   299   0.411834E+04   0.887800E+01   0.118986E+03   0.172893E+07   0.108664E+04
   300   0.408441E+04   0.905546E+01   0.119367E+03   0.172235E+07   0.107699E+04
   301   0.405041E+04   0.923411E+01   0.119711E+03   0.171582E+07   0.106739E+04
   302   0.401634E+04   0.941372E+01   0.120019E+03   0.170931E+07   0.105785E+04
   303   0.398221E+04   0.959438E+01   0.120289E+03   0.170285E+07   0.104837E+04
   304   0.394804E+04   0.977600E+01   0.120522E+03   0.169642E+07   0.103896E+04
   305   0.391384E+04   0.995852E+01   0.120717E+03   0.169003E+07   0.102960E+04
   306   0.387961E+04   0.101419E+02   0.120874E+03   0.168368E+07   0.102030E+04
   307   0.384537E+04   0.103261E+02   0.120994E+03   0.167736E+07   0.101107E+04
   308   0.381113E+04   0.105110E+02   0.121076E+03   0.167108E+07   0.100189E+04
   309   0.377690E+04   0.106965E+02   0.121119E+03   0.166483E+07   0.992774E+03
   310   0.374267E+04   0.108826E+02   0.121125E+03   0.165862E+07   0.983720E+03
   311   0.370849E+04   0.110693E+02   0.121092E+03   0.165244E+07   0.974728E+03
   312   0.367433E+04   0.112564E+02   0.121020E+03   0.164630E+07   0.965797E+03
   313   0.364023E+04   0.114440E+02   0.120910E+03   0.164020E+07   0.956928E+03
   314   0.360619E+04   0.116318E+02   0.120762E+03   0.163413E+07   0.948120E+03
   315   0.357220E+04   0.118199E+02   0.120574E+03   0.162809E+07   0.939375E+03
   316   0.353830E+04   0.120083E+02   0.120348E+03   0.162209E+07   0.930692E+03
   317   0.350449E+04   0.121968E+02   0.120085E+03   0.161612E+07   0.922071E+03
   318   0.347078E+04   0.123853E+02   0.119782E+03   0.161018E+07   0.913513E+03
   319   0.343718E+04   0.125738E+02   0.119441E+03   0.160428E+07   0.905018E+03
   320   0.340368E+04   0.127624E+02   0.119062E+03   0.159841E+07   0.896586E+03
   321   0.337033E+04   0.129508E+02   0.118646E+03   0.159257E+07   0.888217E+03
